Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Эльвира Хайруллина,5.0,"We really liked the hotel. The service was excellent. The staff was attentive, and the food was excellent and varied. The location was very convenient, close to the sea. They tried to find rooms with sea views according to our wishes. Cleaning was thorough. The minibar was restocked daily. I recommend it to everyone. The price and quality are in line ❤️",2 days ago,2026-08-02,,"Dear guest,

Thank you for your wonderful review!

We are delighted that you highly appreciated the quality of service, the variety of food options, the convenient location of the hotel, the cleanliness of the rooms, and the attentive service of our team. It's gratifying to know that we were able to find a room that suited your preferences and made your stay comfortable.

Thank you for your recommendation. We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",3 photos,Ci9DQUlRQUNvZENodHljRjlvT2twU01YWlNSMWsyU1dwWmJ6Rmhla2N0WVVwdFgwRRAB
Munira Razakova,5.0,"The best staff ever, food is very tasty! The hotel is very close to the beach",2 days ago,2026-08-02,,"Dear Guest,

Thank you for your kind review!

We are delighted to hear that you enjoyed our friendly team, the delicious food, and our convenient location close to the beach. Your positive feedback is greatly appreciated.

We look forward to welcoming you back to Megasaray Hotels for another enjoyable stay.

Kind Regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",1 photo,Ci9DQUlRQUNvZENodHljRjlvT25GUVVuRXdXazVsTUU4d2FHeFJVM2N3YjJSR01FRRAB
onur erdoğan,5.0,,2 days ago,2026-08-02,,"Dear Guest,

Thank you for your feedback.

We are very pleased that you enjoyed your stay. We would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 31 reviews · 6 photos,Ci9DQUlRQUNvZENodHljRjlvT25WbWJXaG5Na0ZUYldKWGVWcDBiMk5DUmxsdGVtYxAB
Muhammet ali Karakaya,5.0,This is my 5th visit to the hotel. I would especially like to thank Chef Osman for his wonderful cocktails and for his attentiveness. Thank you again.,2 days ago,2026-08-02,,"Dear Guest,

Thank you for choosing our facility again and for sharing your valuable feedback.

It is a great pleasure for us that you have chosen us for the fifth time and that you are satisfied with the quality of our service. Your positive comments about our team will be shared with the relevant department.

We would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2xoSVJtTklRVXd3UkU5dWRsbE9hV0o1YmpkaFNYYxAB
Ирисбек Артукметов,5.0,"I recommend this hotel to everyone, it's top notch 🔥🔥🔥",2 days ago,2026-08-02,,"Dear guest,

Thank you so much for your wonderful review and recommendation!

We are delighted to know that you highly appreciated the quality of our services. We look forward to welcoming you back to Megasaray Hotels and making your next stay just as enjoyable.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2pFemNXeDFjMHRVV21Oa1JFVlpkak5ZTlRKWmNGRRAB
Ale,5.0,"We had an amazing time at Megasaray! The hotel is awesome and has all the comfort you need. A big shout out to the entertainment team, especially to Makhabat who made our days so much better with her great energy and contagious smile! We took part of her fun and entertaining aqua gym sessions. She leads every sessions with enthusiasm and professionalism making everyone feel welcome and motivated to join in. She has great languages skills, which make it easy for guests from different Countries to follow and enjoy the classes. We'll come back soon!",2 days ago,2026-08-02,,"Dear Guest,

Thank you for sharing your wonderful feedback with us.

We are delighted to hear that you had an amazing stay and enjoyed the comfort of our hotel. It is especially rewarding to know that our entertainment team contributed to making your holiday even more enjoyable. Your kind words will be shared with the relevant department with great pleasure.

We look forward to welcoming you back to Megasaray Hotels for another memorable stay.

Kind Regards,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",Local Guide · 19 reviews · 30 photos,Ci9DQUlRQUNvZENodHljRjlvT2pkMmJHazViMjVJTjBaM1QwOUJSelpSVkdFMFZYYxAB
Oguzmurat Onal,5.0,"There's really no need for many words; the cleanliness, location, quality food, and friendly staff – the smiles start at reception and continue until you leave the hotel. The chefs' attention to detail and meticulousness in the restaurant are immediately noticeable. I also want to specifically mention that I was truly impressed by Batuhan's kindness and diligence. See you again!",2 days ago,2026-08-02,,"Dear Guest,

Thank you for your valuable feedback and kind comments.

We are very pleased that you were satisfied with our cleanliness, location, gastronomic experience, and the friendly service of our team. Your kind words about our restaurant team will be shared with our relevant departments with pleasure.

We would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",4 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pSVk1YUkJUMGhVWlV4VVJYWTJabEkwTUU5VVRYYxAB
Selçuk,5.0,"After our four-day holiday at Megasaray Side, we are now experiencing a four-day Megasaray Westbeach experience.
The difference between the two hotels of the same group is incredible.
Many thanks to the Westbeach family for showing us how to do a job properly from the moment we entered the hotel.
The rooms, food, beach, location, service, and staff deserve five stars.",2 days ago,2026-08-02,,"Dear Guest,

Thank you for your valuable feedback and kind comments.

We are delighted that you were satisfied with our rooms, gastronomic experience, beach, location, and quality of service during your stay at Megasaray Westbeach. Your appreciation of our team's hospitality is also a great source of motivation for us.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",10 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT25abldsbEhOWFF5VTJ0c2VEWjJNR2hETFhwNFNHYxAB
дори,5.0,"I really liked this place. The food was delicious, and the steak and pasta were excellent. Thank you, Erkan and Ali. The waiters were friendly and the service was excellent.",2 days ago,2026-08-02,,"Dear guest,

Thank you for your wonderful review!

We are delighted that you enjoyed the cuisine, the restaurant's atmosphere, the quality of service, and the attentive attitude of our team. Your kind words about our staff will be gladly passed on to the appropriate department.

We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2xBd1NWOHhYelpGYjBSbWFXRndjMjlmVWs5M2RFRRAB
Krasnov Travels,5.0,"I want to say a big thank you and mention Kamila, she's very nice and helps with everything...",2 days ago,2026-08-02,,"Dear guest,

Thank you for your warm review!

We are delighted to learn that you enjoyed your stay and highly appreciated the attentive service of our team. Your kind words will be shared with our colleagues.

We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",8 reviews · 6 photos,Ci9DQUlRQUNvZENodHljRjlvT25vd2MybE1Xa1owZUdwbWJsaDRiV3RRUkRaWlNHYxAB
Volkan Kıymaz,5.0,"The hotel was fantastic with its central location, views, and cleanliness. The activities, DJ performances, and evening dance shows were wonderful. A big thank you to Elina, Emanuel, and Naza from the animation team; they took great care of us. The animators were very friendly, and we had a lot of fun playing darts. The energy of the animation team was amazing.",2 days ago,2026-08-02,,"Dear Guest,

Thank you for your valuable feedback.

We are very pleased that you were satisfied with our central location, cleanliness, evening activities, and the energy of our animation team. Your positive comments about our animation team will be shared with the relevant department.

We look forward to welcoming you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT2t4Wk1sYzNSbWswY2taMGFWUXdWRXh0VERac1QzYxAB
Светлана Светик,5.0,"This wonderful hotel is located in the center of the famous Konyaalti promenade. It boasts a gorgeous fine-pebble beach across the road with crystal-clear water. 🌊 ⛱️🌴 It's equipped with sun loungers, a minibar, and a comfortable, gradual entry into the water. The rooms are nice, with crisp white linens changed every three days. Rooms are cleaned daily, and an iron can be brought to your room upon request. The food is varied and has almost everything. I really liked the grill, but there's rarely meat at breakfast. Everyone is sure to find something delicious. The staff is very friendly and smiling, always ready to help and advise. In the evenings, there are shows for children and adults. During our stay, there was a Michael Jackson impersonator show—we really enjoyed it, it was like being at his concert! 🔥Free Starbucks is a nice bonus for guests. We really liked the Megasaray Hotel. We want to come back again! This hotel is for those who like to combine a beach and city holiday (not far from the airport). I recommend it!",2 days ago,2026-08-02,,"Dear guest,

Thank you so much for such a warm and detailed review!

We are truly delighted that you enjoyed the hotel's location, beach, food, clean rooms, evening shows, and the attentive service of our staff. We are especially pleased to know that your stay left such a lasting impression and that you truly appreciated the atmosphere of our hotel.

Thank you for your recommendation. We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT2xaemVUSm5TWE5QVm1KTVVXOHdjVVIxU3pRM1JtYxAB
Роман Гончаров,5.0,The animation is fantastic! The entertainers are friendly and always ready to engage in active games!,2 days ago,2026-08-02,,"Dear guest,

Thank you for your wonderful review!

We are delighted that you highly appreciated the work of our entertainment team. We are pleased to know that they made your stay unforgettable.

We look forward to welcoming you back to Megasaray Hotels!

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",18 photos,Ci9DQUlRQUNvZENodHljRjlvT25kWWFUSjJTakJMUmtOUWJXaElVVU5MYm5scU5FRRAB
Selen Kaya,5.0,"First of all, it's not my usual habit to review the service I receive, but I think it would be a great injustice to leave this hotel without a review. I want to start from the moment I first entered the hotel. My wife, child, and I had a fulfilling 4-night, 5-day vacation. From the moment we entered the reception, Mr. Ali greeted us, and although I had booked a land-view room, he kindly gave us a sea-view room because it was available. Since my vacation coincided with my wedding anniversary, they immediately sent wine and a fruit platter to our room. The room cleaning was excellent, and the view was fantastic. The food was varied and delicious, catering to everyone's tastes. Even though I'm pregnant, nothing upset my stomach. The waiters in the restaurant were also very friendly and attentive. They do everything they can to ensure your satisfaction. What I liked most about the food and drinks was that you never go hungry; there are food options available in different areas from 7 am to 2 am. Both the pool and the sea were spotlessly clean. They constantly attend to you both by the pool and the sea. The pool sports were also very enjoyable. The evening activities were sufficient. I'll mention one drawback here: unless you go out to the garden early and sit at the front, you unfortunately can't see the shows because you're at the back. Perhaps that's the only negative point of the hotel. A big thank you to Mr. Baran from the pool bar. He's a very attentive and friendly gentleman. He does his job perfectly. Whatever we ordered was on our table within 2 minutes. The animation team is also a team that does its job perfectly. A special thank you to Mr. Emirhan from this team. We participated in many activities together and had a lot of fun. He made sure we had a fulfilling holiday. Finally, if you've read what I've written, you'll understand that this is definitely a hotel I would recommend. I've stayed at many hotels in this area before, but I haven't come across one this good. Normally, I find it pointless to return to the same hotel twice in order to have different experiences, but I will definitely come back here. Honestly, it exceeded my expectations; it's a hotel where you'll feel exclusive. A big thank you to everyone involved from the moment we checked in until we checked out. See you again soon 💫",2 days ago,2026-08-02,,"Dear Guest,

Thank you for choosing our facility and for sharing your detailed feedback about your stay.

We are extremely pleased that you were satisfied with our service quality, your room, our gastronomic experience, our cleanliness standards, and our pool and beach areas during your stay. Providing our guests with an enjoyable and unforgettable holiday experience is our top priority.

Your valuable feedback regarding our animation team and restaurant and bar teams will be gladly shared with our relevant departments. Your suggestion regarding our evening shows will also be considered as part of our efforts to improve the quality of our services.

Your kind recommendation and your intention to choose us again is a great source of happiness for us. We would be delighted to welcome you back to Megasaray Hotels.

Sincerely,

Irina Özkökdemir
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT25seU5YVmlSSEpVTjFreVpYUldTV0pqV0hCNmMyYxAB
Кристина Воронина,5.0,"My friend and I chose this hotel in part because of the entertainment, and we were right on track. The entertainment team's program was incredibly comprehensive, with something new every day. There were sports activities (volleyball, water polo), creative workshops, and evening shows. We especially enjoyed the theme nights—they created a truly festive atmosphere.

We loved how the entertainment team knew how to engage even those who were initially shy. My friend and I ended up participating in almost all the activities, and it made our vacation so much more fun. Thanks to the entertainment team for a great atmosphere and amazing experiences!",3 days ago,2026-08-01,,"Dear Guest,

Thank you for your wonderful review. We are glad you enjoyed our entertainment program and that our animation team made your stay more enjoyable.

We look forward to welcoming you back to our hotel.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,Ci9DQUlRQUNvZENodHljRjlvT25SRVJtOUZNSGQzUWpkWFVFSkpjVGhTVFRWclRsRRAB
Екатерина Кутепова,5.0,"Good afternoon!
I definitely recommend the Megasaray West Beach Hotel. Everything is top-notch: service, food and drinks, entertainment, and evening entertainment.
The staff is very friendly. You feel great here.
The beach is well-equipped.
Everything is so good that there's nothing more to say.",3 days ago,2026-08-01,,"Dear Guest,

Thank you for your high rating and wonderful review. We are very glad you enjoyed the service, food, drinks, entertainment, and beach, as well as the attentiveness of our team.

We look forward to welcoming you back to our hotel.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",Local Guide · 15 reviews,Ci9DQUlRQUNvZENodHljRjlvT20wM2VEbG5WemhrYTNRdFFuVnVXalJsTUU4MmJVRRAB
Адель Абдурахманова,5.0,"A wonderful hotel, and most importantly, the staff is amazing! Everyone is friendly, smiling, and understanding. Special thanks to Salar for creating a wonderful atmosphere every day. He's attentive, kind, and caring. A true professional. The service is top-notch. Thanks also to the entertainment staff – Mahabat and Emanuel.
Unfortunately, the only thing that was lacking was the room cleaning. However, after comments were made, they responded quickly and made improvements. The team is superb. Thank you.",3 days ago,2026-08-01,,"Dear Guest,

Thank you for your review. We are glad you enjoyed the service, atmosphere, and attention of our team. Your comments have been taken into account and help us continually improve our service.

We look forward to welcoming you back to our hotel.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",,Ci9DQUlRQUNvZENodHljRjlvT201RlJYVkpXV05uUVhKU2FtY3hZMjFDYzFwNFZIYxAB
Ibragim Askhabov,5.0,"The animation team here are true stars! Morning exercises and aqua aerobics set a positive tone for the entire day. Throughout the day, there are sports tournaments, cooking master classes, and even yoga classes. The animation team is friendly and always ready to engage in active games.",3 days ago,2026-08-01,,,,Ci9DQUlRQUNvZENodHljRjlvT2tzMWFraHdZVzluWm5GVWEyNUpiVGxHZVZSU2FuYxAB
Hasan Eser,5.0,"Unforgettable 2-Week Stay – The Entertainment Team is Simply the Best!
​We just returned from an incredible two-week holiday at Megasaray Westbeach, and we cannot say enough good things about the resort's amazing entertainment team! From early morning until it was time to go to bed, they brought non-stop energy, fun, and warm smiles to every single day.
​What makes this team truly special is how active they keep you while maintaining the utmost politeness and professionalism. They seamlessly speak multiple languages, making guests from all over the world feel right at home.
​Our days were filled with fantastic activities—from energetic water polo matches and fun dart challenges in the pool area to soothing morning stretching and yoga sessions to keep us feeling refreshed. There was never a dull moment, yet they never felt pushy—just genuinely fun and inviting.
​A massive special shoutout to Emirhan, Naz, Makhabat, and Emanuel! You are such lovely, genuine people. Your hard work, positive energy, and professional manners made our 14 days so entertaining and unforgettable. You truly made our holiday!
​If you are visiting Megasaray Westbeach, you are in for a treat with this team. We will miss you all and can’t wait to come back!",4 days ago,2026-07-31,,,5 reviews,Ci9DQUlRQUNvZENodHljRjlvT21wbE9GcHBhVk5ZV1V3dFUxbHJVelpXV1Y5dmJGRRAB
Ирина Сагитова,5.0,"July 2026. We would like to express our deepest gratitude to the staff and service personnel at the Megasaray Hotel for their warm welcome and friendly attitude.
To the receptionists: Aydin, Victoria, and Leona. They are attentive, kind, always ready to listen and help. To the entertainment staff: Ayup, Emanuel, and Emirhan. They are simply amazing, with such a positive energy and desire to bring joy to everyone. Excellent activities and shows for both adults and children; we had a lot of fun and positive emotions.
To the restaurant staff: Salar, Yildiz, and Aruzhan. They are simply amazing. A special thank you to the chefs for the variety of dishes; everything is always fresh and delicious.
We would like to commend our maid, Münire, for the cleanliness of the room, her tactful behavior, and her attentiveness.
Our family has been vacationing in Turkey for over 10 years. And for the last three years, we have been coming to your hotel because you are the best. We love everything about your place: the location, the food, the rooms, the beach, the entertainment. And most importantly, the people who work there.
Guests from Kaliningrad (family): Dmitry, Nadezhda, and Fyodor (room 8032), Irina and Tatyana (room 8009).",Edited 4 days ago,2026-07-31,,"Dear Guest,

Thank you for your valuable comments and feedback. We are delighted that you enjoyed our entertainment activities, evening shows, musical programs, and our team's attentive service.
Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review,ChdDSUhNMG9nS0VNZUN5LWlLMmFXTWxnRRAB
WhiteRose,4.0,"I had a wonderful stay overall. The resort is beautiful and most of the staff are professional and very helpful.

My only concern was during one of the summer activities and workshops. The staff member was not very helpful and I felt ignored while waiting. I hope management can review guest service during busy events to make sure all guests are treated equally.

Other than that, all other services and activities were excellent.",4 days ago,2026-07-31,,"Dear Guest,

Thank you for sharing your feedback with us. We are pleased to know that you had a wonderful stay overall and appreciated our resort, services, and activities.

We take your comments regarding the summer activities and workshops into consideration. Our aim is to ensure that every guest receives the same level of attention and respectful service in accordance with our service standards, and your feedback will be shared with the relevant departments for review.

We would be happy to welcome you again at our hotel.

Best regards,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",1 review · 4 photos,Ci9DQUlRQUNvZENodHljRjlvT21wdVMzZHlaVVpETnpNNFZGcEVWa2cwVW1kelZHYxAB
Murat Erkurtulgu,5.0,"We were very pleased with the hotel, its location, and the food and drinks they offered. We would definitely stay there again. The beach area is excellent. The only feedback I would give is that the bartenders in the lobby bar didn't seem to enjoy their work; their facial expressions towards customers weren't very enthusiastic. Other than that, all the staff were friendly and cheerful, from the waiters to the bellboys.",4 days ago,2026-07-31,,"Dear Guest,

Thank you for your valuable feedback and high rating. We are very pleased that you were satisfied with our hotel's location, our food and beverage services, our beach area, and the overall service of our team. Your feedback regarding our Lobby Bar team will be evaluated by our relevant department as part of our efforts to improve the quality of our service.

We would be delighted to welcome you and your family again.

Sincerely,
Ayla Akbarova
Customer Relations Management
Megasaray Hotels",8 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tWU2FpMXpVRFZZUzJsNWJHSlNMWEJNVVdka2NsRRAB
