Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Abdulmajeed Alotibi,5.0,Good for everything but the room service not to good …,15 hours ago,2026-08-03,,,7 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pOMUxVTTRRbGMxVUdwdVQzUlhjRFJrTkhwd1pHYxAB
Atiyah Chhadat,5.0,,16 hours ago,2026-08-03,,,4 reviews,Ci9DQUlRQUNvZENodHljRjlvT213elMwTk9ZMGRIYTBJek16WnhPRlJmWlZSeE1XYxAB
Westgate Pharmaceuticals,5.0,Very nice service. Beautiful location..,16 hours ago,2026-08-03,,,1 review,Ci9DQUlRQUNvZENodHljRjlvT2xkNFNFUndibXczVUhGT09WSlRiV2ROYlRodVkxRRAB
William Salhany,5.0,"Great Resort with excellence in service. A wide range of activities, pool is awesome, and the food is delicious. On top, there is free access to land of legend with free shuttle will make it easy. I recommend the place and will come back",16 hours ago,2026-08-03,,,2 reviews,Ci9DQUlRQUNvZENodHljRjlvT25kdWRuaEtURlY2TFZCaGIyTkhWMll3VFRaclQyYxAB
Julie,5.0,"Superb stay. Magnificent hotel, high-quality service, and incredible food. A truly top-notch all-inclusive experience. We'll be back very soon!",16 hours ago,2026-08-03,,,5 reviews,Ci9DQUlRQUNvZENodHljRjlvT25NMk9UVjZXRGRuYWpZM1gzWlpha2RLTm1Sc1QwRRAB
András Péter-Szabó,5.0,"Everything was perfect. Food, drinks, animation, music, absolutely perfect. Will come back for sure",16 hours ago,2026-08-03,,"Dear András Péter-Szabó,

Thank you very much for sharing your wonderful feedback and for choosing Rixos Premium Belek.

We are delighted to hear that you enjoyed our food, beverages, animation, and music, and that your overall experience was perfect. Your kind words are a great motivation for our entire team.

We will be very happy to welcome you back to Rixos Premium Belek and create more unforgettable memories together.

Kind regards,

Rixos Premium Belek Hotel Management",Local Guide · 23 reviews · 5 photos,Ci9DQUlRQUNvZENodHljRjlvT2xaTFRWTjNlSEU0TUUxNkxWYzFkakJRTlRkSGVVRRAB
Lotti Kis,5.0,,16 hours ago,2026-08-03,,"Dear Lotti Kis,

Thank you for choosing Rixos Premium Belek and for rating your stay with us.

We appreciate your support and hope to have the pleasure of welcoming you back in the future for another memorable experience.

Kind regards,

Rixos Premium Belek Hotel Management",,Ci9DQUlRQUNvZENodHljRjlvT2pOUlNtMVFYM2t5YWpJMGJHdFRaRlZHV0cxWGJYYxAB
Lalsultan KAYA,5.0,"I've been coming here for 10 years and the cleanliness, food, and staff are fantastic. Especially Sebastian, the manager of Kabana, and Ms. Yana from People Restaurant made our holiday even better.",19 hours ago,2026-08-03,,"Dear Ms. Lalsultan Kaya,

We sincerely thank you for choosing Rixos Premium Belek for the past 10 years and for not leaving us alone on this special journey.

Your valuable words about our cleanliness, our food, and our team have made us extremely happy. We will also gladly share your kind comments regarding our Cabana Manager Sebastian and Ms. Yana from our People Restaurant team with them.

We look forward to welcoming you back to Rixos Premium Belek for many more unforgettable holidays, as we have for many years to come.

Sincerely,

Rixos Premium Belek Hotel Management",1 photo,Ci9DQUlRQUNvZENodHljRjlvT2xFeFZ6QmZlVWRLYmpoSk5YWTRUbTlzV1ZGS2VrRRAB
jennine campbell,5.0,"Having a lovely family holiday at the Rixos, clean, family friendly and clean & efficient staff",19 hours ago,2026-08-03,,"Dear Jennine Campbell,

Thank you for choosing Rixos Premium Belek and for sharing your kind feedback.

We are delighted to hear that you are enjoying your family holiday and that you appreciate our clean environment, family-friendly atmosphere, and the dedication of our team. Your kind words are a great motivation for all of us.

We wish you a wonderful remainder of your stay and look forward to welcoming you back again in the future.

Kind regards,

Rixos Premium Belek Hotel Management",5 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT205alJGWXlNbHAwUTFSaldVRlZZMWd5V1dGUmNrRRAB
Merve Sultan Akan,4.0,"Elif Sıra Hanım at the lobby bar and all the staff in the dining area, especially Mr. Ihsan, were very helpful. It's a baby-friendly hotel, we liked it very much and I recommend it. The only thing missing was room cleaning; everything else was very good.",21 hours ago,2026-08-03,,"Dear Merve Sultan Akan,

Thank you for choosing Rixos Premium Belek and for sharing your valuable feedback.

We are delighted that you enjoyed the hospitality of our team during your stay, and especially the support you received from Ms. Elif Sıra and Mr. İhsan. We also appreciate that you liked the hotel's concept.

We have noted your valuable feedback. We would be delighted to welcome you back to Rixos Premium Belek in the future.

Sincerely,

Rixos Premium Belek Hotel Management",1 review,Ci9DQUlRQUNvZENodHljRjlvT25WT2JHVTNNV3Q0ZWtsTGNHZE1WR050Um5oQmFtYxAB
Madi Borg,5.0,Rixy club was such as a great experience the games were really fun and Playstation área was awesome,a day ago,2026-08-03,,"Dear Madi Borg,

Thank you very much for sharing your lovely feedback. We are delighted to hear that you and your family had a great experience at Rixy Kids Club.

It is wonderful to know that you enjoyed the games and PlayStation area. Creating a fun, engaging, and memorable environment for our younger guests is very important to us.

We will be pleased to share your kind words with our Rixy team. We look forward to welcoming you back to Rixos Premium Belek for more unforgettable moments.

Kind regards,

Rixos Premium Belek Hotel Management",2 reviews,Ci9DQUlRQUNvZENodHljRjlvT21aVFozZHdNazFVZDNwT1Ftb3hUakJ3UkhSb1kxRRAB
rowena rodriguez,5.0,Rixys kids club is very accommodating to the kids they have so much fun specially with their active ties for kids and teens they learn many stuff by themselves,a day ago,2026-08-03,,"Dear Rowena Rodriguez,

Thank you very much for sharing your lovely feedback. We are delighted to hear that your children had a wonderful time at Rixy Kids Club and enjoyed the activities designed for kids and teens.

Creating a fun, safe, and engaging environment where our young guests can learn, explore, and enjoy their holiday is very important to us. We truly appreciate your kind words and will share your feedback with our Rixy team.

We look forward to welcoming you and your family back to Rixos Premium Belek for more unforgettable memories.

Kind regards,

Rixos Premium Belek Hotel Management",Local Guide · 5 reviews · 74 photos,Ci9DQUlRQUNvZENodHljRjlvT2s5R1dHdHZhVkk1WmtSVlNtaFBSMDlSVDFNeFduYxAB
shahad Shoil,5.0,"Everything was wonderful, and above all, the services provided were phenomenal. Thank you, Rixos Premium ❤️",a day ago,2026-08-03,,"Dear Shahad Shoil,

Thank you very much for your wonderful feedback. We are delighted to know that you had a great experience at Rixos Premium Belek and that you were pleased with the services provided.

Your kind words and appreciation mean a lot to our team and motivate us to continue delivering exceptional experiences to our guests.

We look forward to welcoming you back for another unforgettable stay.

Kind regards,

Rixos Premium Belek Hotel Management",,Ci9DQUlRQUNvZENodHljRjlvT2pVMFkyOTRZVzFGTWs0MlNsaHVNa2hFUTJWQ2NVRRAB
Shari-lee,5.0,Having a great experience at Rixos. One of the best all-inclusives we've experienced.,a day ago,2026-08-03,,"Dear Shari-lee,

Thank you very much for sharing your wonderful feedback. We are delighted to know that you are having a great experience at Rixos Premium Belek and that our resort is among the best all-inclusive experiences you have enjoyed.

Your kind words are a great motivation for our entire team. We look forward to welcoming you again for another exceptional holiday experience.

Kind regards,

Rixos Premium Belek Hotel Management",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pGS2FXc3RaelF3TkdaWmFscGtSRlpmWWtrek1XYxAB
Umut Adiguzel,5.0,,a day ago,2026-08-03,,"Dear Mr. Umut Adıgüzel,

Thank you for your valuable review and for choosing Rixos Premium Belek. We are very happy to see your satisfaction.

We would be delighted to welcome you again in the future and offer you another unforgettable holiday experience.

Sincerely,

Rixos Premium Belek Hotel Management",2 reviews · 9 photos,Ci9DQUlRQUNvZENodHljRjlvT25wSmFGRnFWMnRWYW5oMk9HcDJkWGw2WDNaalpYYxAB
Joanne Ray,5.0,,a day ago,2026-08-03,,"Dear Joanne Ray,

Thank you for your excellent rating and for choosing Rixos Premium Belek. We truly appreciate your support and are delighted to see your positive evaluation.

We look forward to welcoming you back in the future for another memorable holiday experience.

Kind regards,

Rixos Premium Belek Hotel Management",,Ci9DQUlRQUNvZENodHljRjlvT21scWJtSlRXRnBxY1hscVYxODNZWEpvYUdWcVkwRRAB
Lisa Austin,5.0,"We found the hotel perfect for our family, 2 adults and 3 children ages 12, 14 and 17. The family room was perfect (2 adjoining rooms) and facilities were incredible. Jam packed daily activities should you wish or plenty of sunbeds around the pool or on the beach should you wish to relax. Everything was impeccably clean at all times. Would highly reccomend!",a day ago,2026-08-03,,"Dear Lisa Austin,

Thank you very much for sharing your wonderful feedback. We are delighted to know that you and your family had a memorable stay at Rixos Premium Belek.

It is a pleasure to hear that you enjoyed our family room concept, facilities, daily activities, pool and beach areas, as well as the cleanliness and comfort of our resort. Providing a relaxing and enjoyable holiday experience for families is one of our main priorities.

Thank you for your kind recommendation. We look forward to welcoming you and your family back to Rixos Premium Belek for another unforgettable stay.

Kind regards,

Rixos Premium Belek Hotel Management",7 reviews · 12 photos,Ci9DQUlRQUNvZENodHljRjlvT2xwZlkyUm5RVm8xZFVzelZWVkVialJ4U1RFMlNrRRAB
Marina Kudryavtseva,5.0,"We are currently at this hotel, Rixos Premium Belek.

We think everything is great! It is a fantastic hotel for families. Good service, a great entertainment program, sports activities, and a variety of dishes in the restaurants, including à la carte.

I would like to specifically mention the kids' club ""Rixy"": there are so many different activities for children every day, arts and crafts, playing, sports, PlayStation... We always take home incredibly beautiful crafts! 😊

There is also a football academy, where professional footballers teach daily (free and they provide their sportswear 🤩). Every boy's dream! Fantastic!

It is very clean, the staff cleans well and really tries their best (room, terrace, pool, garden).

Personal assistants make your holiday absolutely carefree! Many thanks to Ekaterina and Nuriam. Negative point:

Some hotel guests leave huge quantities of plastic bottles, plastic cups, and plastic toys behind on the beach, which subsequently end up in the sea🙁 This is downright terrible and harmful to marine life! I have cleaned up a huge amount of plastic myself three times a day! I want to bring this to the attention of management so that they can take appropriate measures! Thank you in advance!",a day ago,2026-08-03,,"Dear Marina Kudryavtseva,

Thank you very much for sharing such a detailed and valuable review of your stay at Rixos Premium Belek. We are delighted to know that you are enjoying your holiday and that you appreciate our services, entertainment program, sports activities, dining options, and family-friendly facilities.

We are especially pleased to hear your kind words about our Rixy Kids Club, Football Academy, and our Guest Assistants Ekaterina and Nuriam. We will gladly share your compliments with them, as your recognition is a great motivation for our team.

We also sincerely appreciate your feedback. Your concern is very important to us. We will share your comments with the relevant departments for their attention and further evaluation.

Thank you once again for helping us improve and for choosing Rixos Premium Belek. We look forward to welcoming you and your family again for many more unforgettable experiences.

Kind regards,

Rixos Premium Belek Hotel Management",6 reviews,Ci9DQUlRQUNvZENodHljRjlvT21jMlMwWlpNMjl6YzJKd2FIWkpPSE5FWDFoT2VFRRAB
Barış Erol,5.0,,a day ago,2026-08-03,,"Dear Mr. Barış Erol,

Thank you for your valuable review and for choosing Rixos Premium Belek. We are very happy to see your satisfaction.

We hope to welcome you again in the future and provide you with an unforgettable stay.

Sincerely,

Rixos Premium Belek Hotel Management",Local Guide · 24 reviews,Ci9DQUlRQUNvZENodHljRjlvT2t0WWEzZHFRMHhJWkdad2VWTmplbFZDUmtadmJWRRAB
hadeel talal,5.0,Very nice resort specially melisa she is wonderful and helpful ❤️❤️,a day ago,2026-08-03,,"Dear Hadeel Talal,

Thank you very much for your lovely feedback and for sharing your experience with us. We are delighted to know that you enjoyed your stay at Rixos Premium Belek.

Your kind words about Melisa are greatly appreciated. We will be pleased to share your compliments with her, as such recognition is a wonderful motivation for our team.

We look forward to welcoming you back for another memorable holiday experience.

Kind regards,

Rixos Premium Belek Hotel Management",5 reviews,Ci9DQUlRQUNvZENodHljRjlvT2paM2NsRlBWa2x2Y1ZGVk1rNDRUVFkxVEdoTGJsRRAB
Evren Akben,5.0,"We had a wonderful vacation at Rixos Premium Belek. We’ve stayed at several Rixos properties over the years, including Tekirova, Sungate, Bodrum, and Sharm El Sheikh, and in our opinion, Rixos Premium Belek offers the best food of them all. The variety, quality, and taste were outstanding throughout our stay.

The à la carte restaurants were excellent, especially the Turkish Restaurant and the Greek Restaurant. One tip: make sure you book your reservation right at 10:00 AM. We found that it’s much easier to disconnect from the hotel’s Wi-Fi and use your mobile data instead. Start refreshing the reservation page around 9:59 AM because the popular restaurants fill up within minutes.

If your priority is the food, we thought the Turkish Restaurant offered the best dining experience. If you’re looking for a lively evening with music, dancing, and entertainment, then the Greek Restaurant is the perfect choice.

The pools are beautiful, spacious, and perfect for families. As for the sea, it’s the typical Belek coastline. The water is clean, but because the seabed is sandy, it can appear a little cloudy. If you’re expecting the crystal-clear waters of Bodrum or Didim, this is different—but the sea itself is clean and enjoyable.

We were also pleasantly surprised to receive another room upgrade, which we truly appreciated. Thank you to the team for making us feel valued once again.

The only downside was that the resort can feel quite crowded during peak season. However, that’s understandable given the size and popularity of the property.

Overall, we had an excellent stay and would happily return. Rixos Premium Belek continues to be one of our favorite all-inclusive resorts.",a day ago,2026-08-03,,"Dear Evren Akben,

Thank you very much for sharing your detailed and valuable feedback. We are truly delighted to welcome you back to Rixos Premium Belek and to know that we continue to be one of your favorite resorts among the Rixos properties you have experienced.

We are especially pleased to hear your appreciation of our culinary concept, A La Carte Restaurants, facilities, and the service provided by our team. Your kind words regarding our Turkish and Greek Restaurants will be shared with our colleagues.

Thank you for your loyalty and for choosing Rixos Premium Belek. We look forward to welcoming you and your family back for many more unforgettable stays.

Kind regards,

Rixos Premium Belek Hotel Management",Local Guide · 24 reviews · 20 photos,Ci9DQUlRQUNvZENodHljRjlvT2tKQ09XbDRWbWszTUZwdk5WaFJiMEZxVUU0NU5GRRAB
Hamza Bukhari,3.0,"This hotel may have cause my family and I have ill as we’re not feeling well, I believe based on what I’ll I have there may be hygiene issues around the hotel",2 days ago,2026-08-02,,"Dear Mr. Hamza Bukhari,

Thank you for taking the time to share your feedback. We are truly sorry to learn that you and your family have been feeling unwell, and we sincerely wish you all a full and speedy recovery.

Please be assured that the health, safety, and well-being of our guests remain our highest priorities. Our resort operates in full compliance with the HACCP food safety management system and follows comprehensive hygiene protocols. Regular independent laboratory analyses are carried out on food, drinking water, ice, and pool water, while all preparation, storage, and sanitation procedures are continuously monitored to ensure full compliance with the highest safety standards.

To date, neither our routine internal inspections nor independent laboratory analyses have identified any hygiene-related irregularities. 

As gastrointestinal illnesses may arise from a variety of factors, it is often not possible to determine a single source without medical assessment. Nevertheless, we treat every guest concern with the utmost seriousness, and each report is carefully reviewed in accordance with our established procedures and documented quality control records.

We wish you and your family a swift recovery and hope to have the opportunity to welcome you again in the future.

Kind regards,

Management
Rixos Premium Belek",Local Guide · 15 reviews · 43 photos,Ci9DQUlRQUNvZENodHljRjlvT2w5NFJuUndaVFV4ZDBOTE1XbHljelJ4U1U0NU4yYxAB
İBRAHİM ÖZDEN,5.0,"From the moment we arrived until every minute of our stay, the staff's attentiveness and care were wonderful. The food and drinks were excellent, and they excelled at being a child-friendly hotel. The pools and towels were very clean, and the service was fast. In short, everything was great. The Rixy Club animators were fantastic; the children were never bored.",Edited 2 days ago,2026-08-02,,"Dear Guest,

Thank you for your valuable feedback and kind thoughts.

We are delighted that you were satisfied with our services during your stay. We will share your kind words about our team.

We hope to have the opportunity to welcome you back to Rixos Premium Belek.

Sincerely,

Rixos Premium Belek Hotel Management",1 review,Ci9DQUlRQUNvZENodHljRjlvT2pKRU9XbHVTRzl5WlZNdGRsRk5hMGh0UlU5dmFtYxAB
Aytan Muradova,5.0,"Our stay at Rixos Premium Belek was amazing! Everything was thought out to the smallest detail. The staff was extremely friendly, professional and helpful. The rooms were very comfortable and clean, and the food was both varied and delicious. It is a great choice, especially for families with children. Thank you to the whole team for making our holiday unforgettable. We look forward to coming back.",2 days ago,2026-08-02,,"Dear Aytan Muradova,

On behalf of the Management of Rixos Premium Belek, thank you very much for your wonderful review.

We are truly delighted to know that your stay with us was amazing and that every detail contributed to making your holiday memorable. Your kind words about our team, comfortable rooms, cleanliness, and the variety and quality of our cuisine mean a great deal to us.

It is especially rewarding to hear that you found our resort to be a great choice for families with children.

Thank you once again for your trust and appreciation. We look forward to welcoming you and your family back to Rixos Premium Belek for another unforgettable stay.

Warm regards,

Management
Rixos Premium Belek",1 review,Ci9DQUlRQUNvZENodHljRjlvT2pZeVUxRjFkelZOVjNGeVYyOUJaV2xuTTFFeU5GRRAB
Анна Смирнова,5.0,We really enjoy going to the Risk Club. The entertainers are very attentive and quickly connect with the kids. They know how to make you laugh and teach you how to make crafts. Everything is great 👍👏😆 …,2 days ago,2026-08-02,,"Dear Anna Smirnova,

On behalf of Rixos Premium Belek management, thank you for such a warm review!

We are delighted to learn that your children enjoyed their time at Rixy Kids Club, and that our animators were able to engage them, bring joy, and engage them with engaging creative activities.

Your kind words will be a great motivation for the entire Rixy Kids Club team to continue creating unforgettable experiences for our young guests.

We look forward to welcoming you and your family back to Rixos Premium Belek!

Sincerely,

Rixos Premium Belek Management",1 review,Ci9DQUlRQUNvZENodHljRjlvT21sd2JGWjVjMmhZY1ZORWNFTndOVlJWU0VFNE4wRRAB
Erkan,5.0,"We would also like to thank Ms. Ece, who was friendly, helpful, and immediately provided solutions to all our needs and suggestions.",2 days ago,2026-08-02,,"Dear Mr. Erkan,

Thank you very much for your valuable feedback. We are very pleased that you had a pleasant stay at Rixos Premium Belek and were satisfied with the service of our team.

We will be happy to share your kind words about Ms. Ece with her and our team.

We would be delighted to welcome you back to Rixos Premium Belek.

Sincerely,

Rixos Premium Belek Hotel Management",,Ci9DQUlRQUNvZENodHljRjlvT2xKRGREUlNRMWRmTjAxU1FtdHpZVFpqTTBSWWQzYxAB
Anton Tiurin,5.0,"Corrected: I only left the situation where the driver didn't show up.

We vacationed with a large family: my sister, my three children—ages 1 year, 22 months, and 8 years old. Overall, we really enjoyed our vacation.

All the hotel staff were polite, attentive, and did their jobs well. They always responded to all our requests and tried to help. The rooms were clean, and the beds were comfortable.

The food was delicious, with a wide selection. The restaurant staff was always polite, and service was fast, with no long waits.

The hotel offers a variety of activities for children of all ages. We especially liked the children's play area: there was plenty to keep even the smallest children occupied. The pool was also nice.

The beach was spacious and clean, and the sea was warm. There was plenty of space, and the whole family felt comfortable. The beach staff was also polite and attentive.

It would be nice to add more individually wrapped meals for small children: for example, unsweetened baby cookies, rice cakes, yogurt, or pureed food in pouches. Small children eat more often, and it would be convenient to take these foods with them to the beach or on a walk. A warm shower for babies would also be very useful on the beach.

The only significant drawback was the transfer booked through the hotel. The driver never showed up, and we had to resolve the issue on the spot with small children and suitcases. The hotel apologized and paid for the next transfer, for which we are grateful.

Despite this situation, our impressions of the hotel itself and the quality of service remained very good. It's a comfortable place for a large family vacation with children of various ages.
Aria was very helpful and helped us with all our queries.",Edited 2 days ago,2026-08-02,,"Dear Anton Tiurin,

Thank you for such a detailed review. We are delighted to learn that you were satisfied with our staff, our food, our beach service, and our variety of children's activities. Your kind words about our colleagues Valeria and Leyla, as well as about the room cleaning and the attentiveness of our restaurant staff, will be sure to be passed on to them with gratitude.

We sincerely regret the inconvenience caused by the delayed airport transfer. Your comment will be forwarded to the appropriate department for analysis and improvement.

It is especially important to us that you had a comfortable and enjoyable holiday with your small child. We look forward to welcoming you and your family back to Rixos Premium Belek and offering you even more positive experiences.

Sincerely,
Rixos Premium Belek Management",Local Guide · 13 reviews · 15 photos,Ci9DQUlRQUNvZENodHljRjlvT2xScE9IbGtSblF4YnpkS2VtSTFNakYwVW1kSE4xRRAB
Furkan Caprice,5.0,The hotel is very clean and extremely well-maintained. We are currently spending our vacation here and feel completely at ease. Highly recommended!,2 days ago,2026-08-02,,"Dear Furkan Caprice,

Thank you so much for your kind review. We are delighted to hear that you enjoyed your stay at the Rixos Premium Belek and felt completely at ease with us.

Your recommendation means a great deal to us. We wish you continued pleasant stays and look forward to welcoming you back again in the future.

Sincerely,

Rixos Premium Belek Hotel Management",2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tjMVQxUkljRmgyZW00MGRHOTFNMm81Y25waWNsRRAB
Nigek Stevenson,5.0,"Very good hotel, top class service",2 days ago,2026-08-02,,"Dear Guest,

Thank you very much for your kind feedback. We are delighted to hear that you enjoyed your stay at Rixos Premium Belek and appreciated the quality of our service.

Your satisfaction is very valuable to us. We look forward to welcoming you back for another enjoyable experience.

Warm regards,

Rixos Premium Belek Hotel Management",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT25KYWRVbEVYelZXZVdFM1kxWTRPRUk0WDA5SFluYxAB
Denise Di,5.0,"Great hotel, superb kids' club, excellent food",2 days ago,2026-08-02,,"Dear Denise Di,

Thank you so much for your wonderful review. We are delighted that you enjoyed your stay at the Rixos Premium Belek and were particularly pleased with our Kids Club and the diverse culinary offerings.

Your kind words are a great source of motivation for our team. We look forward to welcoming you and your family back again soon.

Sincerely,

Rixos Premium Belek Hotel Management",2 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT25CdE9UaEtiMjB3VW1waldrcFZSbmh0TmxSRVRFRRAB
Claudiu Avram,5.0,"Very good service, nice people, great place to be",2 days ago,2026-08-02,,"Dear Claudiu Avram,

Thank you very much for your kind feedback. We are delighted to hear that you enjoyed the service, the hospitality of our team, and your time at Rixos Premium Belek.

Your appreciation means a lot to us. We look forward to welcoming you back for another enjoyable stay.

Warm regards,

Rixos Premium Belek Hotel Management",Local Guide · 28 reviews · 18 photos,Ci9DQUlRQUNvZENodHljRjlvT2pjeFJsRjZUM2N0Vm1ZdExWSlpWakUzVldsdVluYxAB
Диана Хабдоллина,5.0,"Excellent hotel, great service, friendly staff, and delicious food.
Access to Land of Legends is available – it's a must-see; the kids loved it, as did the adults.
A perfect end to the summer.",3 days ago,2026-08-01,,"Dear Diana,

Thank you so much for your wonderful review. We are delighted that you enjoyed your stay at Rixos Premium Belek and appreciated the quality of service, the dedication of our team, and the variety of amenities offered.

We are also delighted that your visit to the Land of Legends was a wonderful experience for you and your child.

We look forward to welcoming you back to Rixos Premium Belek for more wonderful experiences.

Sincerely,

Rixos Premium Belek Hotel Management",1 review,Ci9DQUlRQUNvZENodHljRjlvT21OdWVWcHBOemxmWW1oZlNrZEtkbU5aTUV4eVNsRRAB
Yusuf PINAR,5.0,,3 days ago,2026-08-01,,"Dear Yusuf PINAR,

Thank you for taking the time to leave us your rating. We truly appreciate your support and are happy to know that you chose Rixos Premium Belek.

We look forward to welcoming you again for another pleasant stay.

Warm regards,

Rixos Premium Belek Hotel Management",Local Guide · 52 reviews · 5 photos,Ci9DQUlRQUNvZENodHljRjlvT21kWmRVZEpOV2wwYVdsc1NGQk1kVVZuWWs1TWIyYxAB
Eda Atacag,5.0,,3 days ago,2026-08-01,,"Dear Eda Atacag,

Thank you for your rating and for choosing Rixos Premium Belek. We appreciate your support and are pleased to know that you shared your experience with us.

We look forward to welcoming you back for another enjoyable stay.

Warm regards,

Rixos Premium Belek Hotel Management",1 photo,Ci9DQUlRQUNvZENodHljRjlvT21FeWVESmlMV3RGV1RGellVMVdWek5zUTBwbFpVRRAB
James Milbourn,5.0,"This hotel is beautiful. The service and food are incredible. It feels so spacious, even in the vast pool during the height of the summer. The partnership with The Land of Legends is a fantastic bonus. Guest relations ensure a perfect experience. They are in contact daily via a private chat to help with booking A La Carte restaurants, trips or small problems like forgotten chargers. Mediya and Aria were our guest relations contacts and we can’t thank them enough.",3 days ago,2026-08-01,,"ear James Milbourn,

Thank you very much for sharing your wonderful feedback. We are delighted to hear that you enjoyed your stay at Rixos Premium Belek and appreciated our services, cuisine, facilities, and guest relations support.

We are especially pleased to hear your kind words about Mediya and Aria. Your appreciation will be shared with them, as well as with our entire team.

Thank you for choosing Rixos Premium Belek. We look forward to welcoming you back for another memorable holiday experience.

Warm regards,

Rixos Premium Belek Hotel Management",,Ci9DQUlRQUNvZENodHljRjlvT2xsVFdqbHBhMDVHWXpacVYwMHRTSGRwUm5KQ1NuYxAB
