Kullanıcı Adı,Puan (Yıldız),Yorum Metni,Tarih (Metin),Tarih (Yaklaşık),Beğeni,İşletme Yanıtı,Kullanıcı Yorum Sayısı,Yorum ID
Dragon_Fire,5.0,"I stayed at the hotel on July 31, 2026. The food was excellent, the rooms were clean, and the staff was friendly. I really enjoyed everything. I'll definitely stay here again in the future.",a day ago,2026-08-03,,,,Ci9DQUlRQUNvZENodHljRjlvT2tsQ01tTXdTM2t6YTAxUVdGcDFXVEpFWlY5dU1VRRAB
LAYTH MOHAMMED,5.0,,a day ago,2026-08-03,,"Dear LAYTH MOHAMMED,

First of all, we would like to thank you for taking the time to evaluate your stay at our resort.
We are delighted to learn that you were satisfied with the services provided during your stay and that you had an enjoyable holiday overall.
It would be our pleasure to welcome you back to our resort at any time.

Kind regards,
CRM MANAGEMENT",2 photos,Ci9DQUlRQUNvZENodHljRjlvT25nelFWb3lYeTE1WlRKbk4xWm5jbHBMTjI1WFJsRRAB
Pinar Pekmez,5.0,,a day ago,2026-08-03,,"Dear Guest, Ms. Pinar Pekmez

Thank you for taking the time to rate our property with a high score. We are very pleased that you were generally satisfied with your stay.

We would be happy to welcome you again soon and hope to see you again...

Sincerely,
CRM MANAGEMENT",1 review,Ci9DQUlRQUNvZENodHljRjlvT2trd2VXUXlUREJVY0ZoWmRWQlFSVE55UVhoSFUwRRAB
Onur Onur,5.0,,a day ago,2026-08-03,,"Dear Guest Mr. Onur Onur,

First of all, thank you for taking the time to review your stay at our facility.
We are very pleased that you were satisfied with the services offered by our facility and your holiday in general.
We would be happy to see you again soon.

Sincerely,
CRM MANAGEMENT",Local Guide · 29 reviews · 6 photos,Ci9DQUlRQUNvZENodHljRjlvT21GSE5HazJha3BZWnpGMVJVVjFOV2gzZEZVdFJYYxAB
Ceyda Keskin,5.0,"Everything was great, we were very pleased.",a day ago,2026-08-03,,"Dear Guest, Ms. Ceyda Keskin

Thank you very much for taking the time to share your feedback with us. We are pleased that you were satisfied with the services offered by our facility and with your holiday in general.

We would be happy to welcome you again soon and hope to see you again...

Sincerely,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2s5MVlYUXRZMWxKV0VOcVdXZGhaREJzUmtGS1VYYxAB
Firat Tapar,5.0,"Everything was great, we were very pleased.",a day ago,2026-08-03,,"Dear Guest, Mr. Firat Tapar

Thank you for taking the time to share your feedback with us. We are very pleased that you were satisfied with the services offered by our facility and with your holiday in general.

We would be happy to welcome you again soon and look forward to seeing you again...

Sincerely,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2w5WVNqRkZXRUYzZFhaU2MxUmFXbVYxYTFRMFdIYxAB
A Google User,5.0,Fantastic meal tonight Hasir al carte tonight server Gulzada absolutely brilliant service!,a day ago,2026-08-03,,"Dear Google Kullanıcısı,

Thank you for taking the time to share your feedback with us. We are delighted to hear that you were satisfied with the services offered by our hotel, the quality of our food, our à la carte restaurant, and the service provided during your stay, and that you enjoyed your holiday overall.

We are always happy to welcome you and look forward to seeing you again in the near future.

Kind regards,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2xKVlRFVkJkMG81V0dORlgxTkZTMmhuTkRnME1WRRAB
Runar Aligozhin,5.0,,a day ago,2026-08-03,,"Dear Guest Mr. Runar Aligozhin

First of all, thank you for taking the time to review your stay at our facility.
We are very pleased that you were satisfied with the services offered by our facility and your holiday in general.
We would be happy to see you again soon.

Sincerely,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2s1SFRHRlBZa3htTFRCM1FtNHdTVjgxUlhKNFRuYxAB
Esma Atmaci,5.0,"We were very pleased with the Kids Club. The children had a great time, everything was wonderful.",a day ago,2026-08-03,,"Dear Guest, Ms. Esma Atmaci

Thank you for taking the time to share your feedback with us. We are very pleased that you enjoyed the Kids Club services offered by our facility and your holiday in general.

We would be happy to welcome you again soon.

Sincerely,
CRM MANAGEMENT",2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pOWk5WTlpkSFp3WjFkME56Sk5XRmwxZVRSTE1HYxAB
lee,5.0,"Myself and my family had a fantastic holiday at the titanic deluxe and are already planning on returning next year.
Regards, Lee",a day ago,2026-08-03,,"Dear Guest Lee,

Thank you very much for taking the time to share your wonderful feedback with us.

We are delighted to hear that you and your family had such a fantastic holiday at Titanic Deluxe. Knowing that you are already planning to return next year is the greatest compliment we could receive and a true source of motivation for our entire team.

It was our pleasure to host you, and we sincerely appreciate your trust in choosing our hotel for your family holiday. We look forward to welcoming you back next year and providing you with another memorable stay filled with exceptional service and unforgettable experiences.

Kind regards,

CRM Management",,Ci9DQUlRQUNvZENodHljRjlvT2paM1pXSTNVVk01TlhOR2JtNVZjRzFKVm5FMGNIYxAB
Ali anar,5.0,,a day ago,2026-08-03,,"Dear Guest, Mr. Ali Anar

Thank you for taking the time to rate our facility with a high score. We are very pleased that you were generally satisfied with your holiday.
We would be happy to welcome you again soon and hope to see you again in the near future...

Sincerely,
CRM MANAGEMENT",Local Guide · 2 reviews,Ci9DQUlRQUNvZENodHljRjlvT213Mloxb3liemM0ZERkWVIzTTFjblEzWXpkaGFVRRAB
Cüneyt Yatkin,5.0,"The guy working at Emrullah Pool Bar on roller skates was truly amazing! His friendly smile, energy, and quick service made our experience so much more enjoyable. He provides service both professionally and very skillfully on his roller skates. His attention and friendliness towards guests are commendable. Employees like him make a place special. Thank you so much for your hard work, we would love to see you again when we come back. You definitely deserve 5 stars!",a day ago,2026-08-03,,"Dear Guest Cüneyt Yatkin,

First of all, thank you for taking the time to share your experience with us and for your valuable comments.

We are extremely pleased that you were satisfied with the friendly, energetic, and professional service of Emrullah, who works in our Aqua Pool Bar team. It is a great source of motivation for us that you appreciate the efforts of our team members who work selflessly to provide our guests with an unforgettable holiday experience.

We will gladly share your kind words and appreciation with Emrullah. The fact that he provided you with enjoyable moments and that you wish to see him again on your next visit is a source of great happiness for us.

We would be delighted to welcome you again soon and hope to accompany you with the same high-quality service on your next holiday.

Sincerely,

CRM Management",5 reviews,Ci9DQUlRQUNvZENodHljRjlvT2xGSWFVMUJOa2xrWkhoMGMwWlJMVGxFVDFSaWRuYxAB
Volkan,5.0,"A special thank you to Gamze from Pastane Terrace at Titanic Deluxe Golf Belek.

Gamze is always friendly, professional, and incredibly attentive. She immediately asks what we would like to drink and always takes the time to ask my children about their wishes as well. Her excellent service stood out during our stay in 2025, and once again in 2026 she continues to provide the same outstanding hospitality.

She is a true asset to the hotel. Thank you, Gamze!",2 days ago,2026-08-02,,"Dear Volkan ,

Thank you for taking the time to share your feedback with us. We are delighted to hear that you were pleased with the service provided by our team and that you were satisfied with your holiday overall.

We are always happy to welcome you, and we look forward to seeing you again soon.

Kind regards,
CRM MANAGEMENT",Local Guide · 11 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2psTFRsWTNSVlYzVWtvMlN6ZFlkVTAwVkU0eVluYxAB
Gizem Ozmen,5.0,"We would especially like to thank Ms. Gamze (pastry shop and terrace). She has been serving with the same cheerful demeanor, professionalism, and hospitality for years.

She always prioritizes customer satisfaction, anticipating and addressing guests' needs even before they are expressed. She constantly monitors empty glasses and clears the table very quickly when necessary. This ensures you always feel valued and comfortable.

She is a hardworking, cheerful, and extremely service-oriented employee who does her job with great care. Such staff are truly a great asset to a business.

Ms. Gamze is truly a star, and she has consistently demonstrated this for years. We believe she deserves recognition for her hard work; she definitely deserves a promotion.

Thank you very much for everything. Thanks to such valuable employees, we want to come back again and again.",2 days ago,2026-08-02,,"Dear Guest, Ms. Gizem Ozmen

Thank you for taking the time to share your feedback with us. We are delighted that you were satisfied with the services offered by our facility, the attention of our staff, and your overall holiday.

We would be happy to welcome you again soon.

Sincerely,
CRM MANAGEMENT",5 reviews,Ci9DQUlRQUNvZENodHljRjlvT25kek5rNTNjbXBxVFRaVU1VeFhWVGhUUTFJdFgxRRAB
gaye ilgöy,1.0,Hookah too expensive! 45 euros for a hookah?!,2 days ago,2026-08-02,,,3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pWQ1NuQlplWEJHTUdkdVVEbFBTbDlPVldOT2JWRRAB
Bero N,5.0,,2 days ago,2026-08-02,,"Dear Guest, Mr. Bero N.

Thank you very much for taking the time to rate our hotel with a high score. We are very pleased that you were generally satisfied with your stay.

We would be happy to welcome you again. We hope to see you again soon...

Sincerely,
CRM MANAGEMENT",Local Guide · 60 reviews · 36 photos,Ci9DQUlRQUNvZENodHljRjlvT2xwWVRtODBSMUJHUjNSeWNFNDJkbUZSUWpoYWNWRRAB
tuuba ozen,5.0,,2 days ago,2026-08-02,,"Dear Guest, Ms. Tuuba Ozen

Thank you for taking the time to rate our property with a high score. We are very pleased that you were generally satisfied with your stay.

We would be happy to welcome you again. We hope to see you again soon...

Sincerely,
CRM MANAGEMENT",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tSM1RVOXRVa2hTV0cwM2FVUkVOMVJrTUhaM1VrRRAB
Seda Belli,5.0,"We went 5 years ago and were very satisfied. We are planning to go again this summer. The only downside is that you have to take a train or a boat to get to the sea, which wasn't a problem for me.",Edited 2 days ago,2026-08-02,,"Dear Valued Guest, Ms. Seda Belli

Thank you for taking the time to share your feedback with us. We are delighted that you were satisfied with the services offered by our facility and with your holiday in general.

We would be happy to welcome you again soon.

Sincerely,
CRM MANAGEMENT",Local Guide · 12 reviews · 8 photos,Ci9DQUlRQUNvZENodHljRjlvT2tkVlF6WkNUVzFSUkZORlJrdE5WbVJKTmxKRFpXYxAB
Fatma Sipahioglu Orman,5.0,Everything was wonderful. The cleanliness and food quality were excellent. The kids club staff were incredibly attentive; the children didn't want to leave the club. It was a hotel experience we would very much like to return to.,2 days ago,2026-08-02,,"Dear Guest, Ms. Fatma Sipahioglu Ormano

Thank you for taking the time to share your feedback with us. We are very pleased that you were satisfied with the services, cleanliness, quality of food and beverages, the attention of our Kids Club team, and your overall holiday during your stay.

We would be happy to welcome you again. We look forward to seeing you again soon...

Sincerely,
CRM MANAGEMENT",3 reviews,Ci9DQUlRQUNvZENodHljRjlvT2s1UFpYQXlVRTl1VTIxRU4wUjZMVGxMY1dGb2RFRRAB
özlem Kacar,1.0,"We stayed at the Titanic Belek Hotel as a family and were extremely disappointed. The hotel and the rooms are completely outdated and run-down – from the bathroom fixtures to the showers.

Particularly shocking and dangerous: On the very first day, as we entered the room, the shower door fell out of the cubicle and landed on my son! Immediately afterward, the safe in the room stopped working. It wasn't just dead batteries – after numerous visits from a technician, the safe ultimately had to be completely replaced. As a result, I had to carry all our passports and all our cash around the hotel for two days.

Furthermore, the room for four people is an absolute disgrace. It's extremely small (estimated at 20 square meters) and offers virtually no space.

The food was somewhat acceptable, but the same thing every day, with no variety.

Overall, a very disappointing stay. We absolutely cannot recommend this hotel!",2 days ago,2026-08-02,,"Dear Guest,

First of all, we would like to thank you for taking the time to share your feedback with us. If we have fallen short of your expectations in any area – even unintentionally – we sincerely apologize.

Before being handed over to our guests, all our rooms are carefully checked for cleanliness and technical functionality. Only after we have confirmed that there are no deficiencies in these areas are the rooms made available for use.

Upon reviewing your reservation documents, we determined that you were assigned the room category you booked, which is 39 m². Nevertheless, we are very sorry that the room size or category did not meet your expectations.

Both positive and critical feedback is very important to us. Your feedback has been forwarded to the hotel management for evaluation and to further improve our service quality.

Sincerely,
CRM Management",1 review,Ci9DQUlRQUNvZENodHljRjlvT2tablVYcFRSREJyYkZaVVEwNW1VMDUzYUVSdVVrRRAB
Saw Post,5.0,"This isn't my first time at the hotel, and one of the biggest advantages is the kids' club, which the kids don't want to leave.
The relatively new internet policy is so-so, as you don't have a room; you feel like a caveman.
And a huge thank you to Tatyana (who is the service representative) who was always helpful with any issues that arose.",2 days ago,2026-08-02,,"Dear Saw Post guest!

Thank you for choosing Titanic Deluxe Golf Belek again and taking the time to share your experience.

We are delighted to hear that your children are enjoying their time in our Kids' Club and are eager to get back to you. Feedback like this is truly a reward for our team.

We also appreciate your feedback regarding internet access prior to your room. We understand that staying connected is important to our guests, and your comment will be passed on to our management for review and evaluation.

We would also like to express our sincere gratitude to our colleague, Tatyana, from the Guest Service Department. We will be sure to pass on your appreciation to her. We are delighted to know that her attentive service and helpfulness made your stay even more enjoyable.

We look forward to welcoming you and your family back to Titanic Deluxe Golf Belek and making your next vacation even more enjoyable.

Sincerely,
CRM Management",1 review · 5 photos,Ci9DQUlRQUNvZENodHljRjlvT2xCT2RFdEhTMjFUZG0wemVXdExYM3AxYjFKRkxWRRAB
Yiğit Gül,5.0,"We were very pleased. The service at the lobby bar was excellent, Mr. Umut, the cocktails were fantastic, and Ms. Elif from guest service was very helpful. Thank you for your hospitality, I will definitely come again.",2 days ago,2026-08-02,,"Dear Valued Guest, Mr. Yiğit Gül

Thank you for taking the time to share your feedback with us. We are delighted that you were satisfied with the services offered by our facility during your stay, especially the quality of service and hospitality, and your overall holiday. We would be happy to welcome you again soon and look forward to seeing you again...

Sincerely,
CRM MANAGEMENT",2 reviews,Ci9DQUlRQUNvZENodHljRjlvT2pCb1FtNTVlaTAyVWxScFFVTjNaelV0YzFOd2JGRRAB
Алина Касимова,5.0,"The hotel is large, beautiful, has a large selection of drinks and delicious food, a great morning program, great animation, and an amazing evening show. I recommend this hotel to everyone. 🫶",2 days ago,2026-08-02,,"Dear guest, Alina Kasimova,

Thank you for taking the time to share your impressions of your stay.

We are truly delighted to learn that you enjoyed our hotel grounds, the variety of drinks, our delicious cuisine, as well as our morning entertainment program and evening shows. Our team greatly appreciates knowing that you were satisfied with your stay and are willing to recommend our hotel to others.

We look forward to welcoming you back to our hotel and making your next vacation just as memorable.

Sincerely,
CRM Management",,Ci9DQUlRQUNvZENodHljRjlvT2xacmVEaEZXVGxoYTJGTVpVbDZZMlZCYlhkUlpWRRAB
Дарья Чегаровская,5.0,Everything is just great!!!! I recommend it,2 days ago,2026-08-02,,"Dear guest, Daria Chegarovskaya,

Thank you for your wonderful review and for recommending Titanic Deluxe Golf Belek to other travelers.

We are delighted to learn that your vacation was wonderful and met your expectations. Your kind words are the best reward for our entire team and inspire us to continue creating unforgettable experiences for our guests.

We look forward to welcoming you back to Titanic Deluxe Golf Belek and making your next vacation just as wonderful.

Sincerely,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2xNelZ6TjFaRzlCU1MxSVltNUNUVTFQV0dScFNWRRAB
Алиса Юркова,5.0,"Excellent hotel, this is our second time on holiday with our family, we like everything!",2 days ago,2026-08-02,,"Dear guest, Alisa Yurkova,

Thank you for choosing Titanic Deluxe Golf Belek and taking the time to share your experience.

We are delighted to learn that this is your second time vacationing with us with your family and that you were delighted with your stay. We are honored to welcome our regular guests again, and your kind words are the best reward for our entire team.

We look forward to welcoming you and your family back to Titanic Deluxe Golf Belek and will do everything we can to ensure your next vacation is just as enjoyable and unforgettable.

Sincerely,
CRM MANAGEMENT",,Ci9DQUlRQUNvZENodHljRjlvT2xodExXbG1WbFZ5VDJobFowZFdPV0Z5Um5WdlgxRRAB
A Ya,2.0,"Two weeks ago, we stayed again at the Titanic Deluxe Belek. We had stayed at this hotel three years ago as well and were quite satisfied then. Therefore, our expectations were quite high this year. Unfortunately, however, the hotel was a big disappointment for us this time.

I think the quality of service has seriously declined in recent years. We unfortunately did not see the service and quality expected from a 5-star hotel this year.

We generally disliked the food this time. We felt that the preparation of the food was not as high-quality and meticulous as before. We were particularly dissatisfied with the service of the waiters in the Hasır Restaurant. Some waiters were quite cold, indifferent, and even arrogant. They gave the impression of considering themselves superior to the guests. Moreover, this attitude was not only towards adults but also towards children.

The hygiene in the restaurant was also a major negative point for us. While eating, we saw food on the floor and even ants crawling on it. Encountering such a sight during a meal was truly unpleasant. We would expect much more attention to cleanliness and hygiene in a 5-star hotel. This is a complete zero for us.

We also had problems with beverage service several times. For example, several people are sitting at a table, and one of us gets up to get food. The waiter comes and asks what we want to drink. For example, we ask for three drinks, but then only two are brought. This happened several times. This gave us the impression that they were trying to save money on beverage service.

Another negative point is that they no longer provide bottled or canned drinks. Drinks are poured into glasses elsewhere and brought to you, and you can't even see what brand they are. Frankly, we expect a much different and higher quality service from a 5-star hotel.

The only positive thing we can say is that the staff at the Kids Club were very friendly and attentive to the children. We thank them for that.

Overall, our experience this year was very different from our experience three years ago. We hope the hotel takes this feedback seriously. Because we think the current service, hygiene, and hospitality are not befitting a 5-star hotel.

We hope these issues will be corrected in the future.",2 days ago,2026-08-02,,"Dear Guest,

First of all, thank you for taking the time to share your feedback regarding your stay.
We sincerely apologize for the fact that we may not have fully met your expectations in some areas during your holiday. Guest feedback is of great importance to us in order to continuously improve the services we offer.
At Titanic Deluxe Golf Belek, we always prioritize the health, safety, and comfort of our guests. In this regard, all our practices regarding hygiene, food safety, and general facility cleanliness are carried out within the framework of international standards; they are regularly inspected by our relevant departments, and all necessary precautions are meticulously implemented.
Regarding the pest issue you mentioned in your feedback, due to the location of our facility in a forested area and by a river, environmental conditions can sometimes cause such situations arising from nature. Although comprehensive pest control and inspection work is carried out regularly by professional and authorized companies, it is unfortunately not possible to completely eliminate the presence of insects and pests, which are a part of natural life. However, we continuously strive to ensure the highest level of comfort for our guests. Your feedback regarding service quality has been carefully considered. Maintaining service standards befitting our brand is one of our top priorities. In this context, necessary evaluations will be conducted with our relevant department managers, and our efforts to continuously improve service quality will continue with determination. In line with our brand's quality policy and feedback from our guests, our facility concept, services, and practices are updated in detail every season; the most up-to-date information is shared with our guests through both our partner agencies and our official communication channels. In addition, our Guest Assistant team is pleased to provide all possible support to guests who may have any requests or expectations during their stay, within the framework of our facility concept. Our aim is to ensure that our guests have the most enjoyable and comfortable holidays. All your opinions and suggestions have been shared with our facility's senior management and relevant departments for evaluation, in accordance with our quality standards. Thank you once again for your feedback, and we hope to have the opportunity to welcome you back to our facility in the future and provide you with an even more enjoyable holiday experience.

Sincerely,
CRM MANAGEMENT",12 reviews · 1 photo,Ci9DQUlRQUNvZENodHljRjlvT2tVMlZXRndPRU14V1dWRFVFRklibTV4VlZWR1VYYxAB
Zeb Mughal,5.0,"So we came in this hotel first time last Saturday the 25th July all i can say is we had a great time from arrival to departure all the staff were amazing including restaurants area, around pools area, and around the beach area everyone gave us warm welcome very very clean, toilets were very clean although hotel was full with guests, we will come back here without any thinking. Thank you so much for all your hospitality.",2 days ago,2026-08-02,,"Dear Zeb Mughal,

Thank you for taking the time to share your feedback with us. We are delighted that you were satisfied with the services offered by our hotel during your stay, especially the cleanliness, hospitality of our team and the overall quality of your holiday. We will be happy to welcome you among us again and look forward to seeing you in the nearest future.

Kind regards,
CRM MANAGEMENT",9 reviews,Ci9DQUlRQUNvZENodHljRjlvT2tkcVQyWmhOVzFVZUdOZmJGZE5NbFpsZHpCQmFsRRAB
